[Mon May 04 15:34:47 CEST 2026][INFO] 88: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 89: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 90: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 91: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 92: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 93: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 94: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 95: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 96: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 97: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 98: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 99: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 100: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 101: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 102: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 103: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 104: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 105: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 106: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 107: Breite: 1176, Höhe: 664 (Fenster.java:206)
